timestamp,command
95601.133595,l
106311.54156,n
146821.123919,r
161849.933014,n
174261.815126,l
179890.373868,n
184890.270362,r
192211.656441,r
189531.703007,]
217950.417441,n
237040.342526,r
244640.374652,n
360471.768721,r
385730.858721,n
401552.004817,r
411521.273571,n
413590.267773,l
428321.311007,n
431450.810493,r
443830.651418,n
456651.017386,l
464180.174424,n
470521.021233,r
474000.818346,n
526250.76339,b
531740.547346,n
538510.717539,f
544450.73886,r
556210.986733,n
566580.360647,l
578921.119761,n
585990.309826,r
590711.17008,n
601221.098794,]
614871.005252,b
622390.360105,n
631921.307032,f
639902.816083,n
666601.298944,b
671940.565796,n
682440.230231,f
686550.555855,]
694180.771551,n
698651.151084,b
703540.57236,n
706371.438497,f
713110.857078,n
761760.902582,b
762840.258915,[
771021.445477,n
775510.646899,b
781271.74978,n
784140.417957,f
786850.4935,f
794821.823332,b
800630.578591,n
